"Event Title","Event ID","Date","Start Time","End Time","Location","Category","Price","Status","Availability","Event URL"
"From Interest to Impact: Finding Your Place on a Nonprofit Board","188594","2026-06-17","5:00 PM","7:00 PM","The Living Room","'Quin Impact Fund","Free","Waitlist Only","","https://members.thequinhouse.com/events/188594"
"'Quin Chat: Echoes of Liberty","189485","2026-06-17","5:00 PM","6:30 PM","Scottie's","'Quin Chat","Free","Available","15 spots left","https://members.thequinhouse.com/events/189485"
"From Interest to Impact: Board and Volunteer Fair","188596","2026-06-17","7:00 PM","8:00 PM","The Muse","'Quin Impact Fund","Free","Waitlist Only","","https://members.thequinhouse.com/events/188596"
"World Cup Watch Party: Mexico vs. Korea","189616","2026-06-18","9:00 PM","10:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189616"
"World Cup Watch Party: USA vs. Australia","189607","2026-06-19","3:00 PM","5:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189607"
"Community Dinner Table","176009","2026-06-22","6:00 PM","9:00 PM","Café Q","Member Mixer","Free","Available","2 spots left","https://members.thequinhouse.com/events/176009"
"Summer Concert Series: Mumford & Sons","180148","2026-06-22","6:00 PM","9:00 PM","Fenway Park","The Arts","$607.48","Sold Out","","https://members.thequinhouse.com/events/180148"
"TEDxBoston: Visions of the Next 250","190012","2026-06-23","3:00 PM","7:00 PM","Offsite: GBH Studios","'Quin Chat","Free","Waitlisted","","https://members.thequinhouse.com/events/190012"
"'Quin Suite: World Cup England v. Ghana","166318","2026-06-23","4:00 PM","7:00 PM","Offsite: Gillette Stadium","Sports & Games","$2943.93","Waitlist Only","","https://members.thequinhouse.com/events/166318"
"World Cup Watch Party: England vs. Ghana","189608","2026-06-23","4:00 PM","6:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189608"
"Member Mingle","186697","2026-06-23","5:00 PM","7:00 PM","The Living Room","Member Mixer","Free","Available","34 spots left","https://members.thequinhouse.com/events/186697"
"Improv Comedy | 6:00PM Show","176364","2026-06-23","6:00 PM","7:00 PM","Scottie's","The Arts","Free","Waitlist Only","","https://members.thequinhouse.com/events/176364"
"Summer Concert Series: Rüfüs Du Sol","184920","2026-06-23","7:00 PM","10:00 PM","Offsite: Fenway Park","The Arts","$934.58","Sold Out","","https://members.thequinhouse.com/events/184920"
"Improv Comedy | 8:00PM Show","176365","2026-06-23","8:00 PM","9:00 PM","Scottie's","The Arts","Free","Waitlist Only","","https://members.thequinhouse.com/events/176365"
"Member Meet Up: Sunset Kayak","188062","2026-06-24","5:00 PM","8:00 PM","Offsite: Paddle Boston","Member Mixer","Free","Confirmed","","https://members.thequinhouse.com/events/188062"
"Live Music: Pianist Ryan Brown","185000","2026-06-24","6:00 PM","9:00 PM","The Reading Room","The Arts","Free / Included","Available","","https://members.thequinhouse.com/events/185000"
"Art Tour: Celebrating LGBTQIA+ Artists","176380","2026-06-25","11:00 AM","12:00 PM","Meet in The Lobby","The Arts","Free","Waitlist Only","","https://members.thequinhouse.com/events/176380"
"Serendipity Lunch - Convening Curators","188040","2026-06-25","12:00 PM","2:00 PM","Lunasol","The Arts","$68.00","Available","9 spots left","https://members.thequinhouse.com/events/188040"
"Meet the Maker: Rhonda Kallman from Boston Harbor Distillery","189486","2026-06-25","5:00 PM","6:30 PM","Scottie's","Food & Beverage","Free","Waitlist Only","","https://members.thequinhouse.com/events/189486"
"World Cup Watch Party: USA vs. Turkey","189617","2026-06-25","10:00 PM","11:30 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189617"
"'Quin Suite: World Cup France v. Norway","175300","2026-06-26","3:00 PM","6:00 PM","Offsite: Gillette Stadium","Sports & Games","$3327.10","Available","7 spots left","https://members.thequinhouse.com/events/175300"
"World Cup Watch Party: France vs. Norway","189618","2026-06-26","3:00 PM","5:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189618"
"World Cup Watch Party: Spain vs. Uruguay","189606","2026-06-26","8:00 PM","10:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189606"
"The Drawing Lab with Deb Putnoi: Session VI","188314","2026-06-27","10:00 AM","11:30 AM","The Muse","The Arts","Free","Sold Out","","https://members.thequinhouse.com/events/188314"
"Jazz Brunch","181403","2026-06-27","11:30 AM","2:30 PM","Café Q","Food & Beverage","Free / Included","Available","","https://members.thequinhouse.com/events/181403"
"Member Mingle","186698","2026-06-30","5:00 PM","7:00 PM","The Living Room","Member Mixer","Free","Available","28 spots left","https://members.thequinhouse.com/events/186698"
"'Venture: Wimbledon","183090","2026-07-04","3:00 PM","12:00 PM","Offsite","'Venture - Travel","$12850.47","Waitlist Only","","https://members.thequinhouse.com/events/183090"
"Summer Concert Series: Noah Kahan","180149","2026-07-10","6:30 PM","9:00 PM","Fenway Park","The Arts","$654.21","Sold Out","","https://members.thequinhouse.com/events/180149"
"Summer Concert Series: Noah Kahan","180151","2026-07-11","6:30 PM","9:00 PM","Fenway Park","The Arts","$654.21","Sold Out","","https://members.thequinhouse.com/events/180151"
"World Cup Watch Party: The Championship Final","189619","2026-07-19","3:00 PM","5:00 PM","The Pub","Sports & Games","Free / Included","Available","","https://members.thequinhouse.com/events/189619"
"Summer Concert Series: Zac Brown Band","180152","2026-08-02","7:00 PM","9:30 PM","Fenway Park","The Arts","$607.48","Available","12 spots left","https://members.thequinhouse.com/events/180152"
"Summer Concert Series: Chris Stapleton","180153","2026-08-14","5:30 PM","8:00 PM","Fenway Park","The Arts","$607.48","Sold Out","","https://members.thequinhouse.com/events/180153"
"'Venture: Oktoberfest","189418","2026-09-25","12:00 PM","11:00 AM","Offsite: Munich, Germany","'Venture - Travel","$5607.48","Available","2 spots left","https://members.thequinhouse.com/events/189418"
